# CE5 leaf -> CE6 twin page id (official catalogs, title-matched)
InterlockedCompareExchangePointer	ms885668	ee487958
InterlockedDecrement	ms885669	ee488204
InterlockedExchange	ms885670	ee488427
InterlockedExchangeAdd	ms885671	ee488632
InterlockedExchangePointer	ms885672	ee488192
InterlockedIncrement	ms885673	ee488178
InterlockedTestExchange	ms885674	ee488428
IntersectClipRect	ms909855	ee502890
IntersectRect	ms909856	ee500197
InvalidateRect	ms909857	ee505051
InvalidateRgn	ms909858	ee502864
InvertRect	ms909859	ee503209
IsBadCodePtr	ms885687	ee488573
IsBadReadPtr	ms885688	ee488585
IsBadWritePtr	ms885689	ee488361
IsCharAlpha	ms885690	ee488793
IsCharAlphaNumeric	ms885691	ee487949
IsCharLower	ms885692	ee487984
IsCharUpper	ms885693	ee488199
IsChild	ms909862	ee500846
IsClipboardFormatAvailable	ms909863	ee501144
IsDBCSLeadByte	ms886515	ee487962
IsDBCSLeadByteEx	ms886608	ee488433
IsDialogMessage	ms909864	ee500858
IsDlgButtonChecked	ms909866	ee499082
IsProcessorFeaturePresent	ms886726	ee488016
IsRectEmpty	ms909894	ee506063
IsValidCodePage	ms906218	ee491608
IsValidLocale	ms906219	ee491935
IsWindow	aa453233	ee502316
IsWindowEnabled	aa453234	ee505428
IsWindowVisible	aa453235	ee504915
KEYBDINPUT	aa453247	ee504819
KeybdGetDeviceInfo	aa453246	ee504822
KillTimer	aa453248	ee505654
LBN_DBLCLK	aa453273	ee505854
LBN_ERRSPACE	aa453274	ee500763
LBN_KILLFOCUS	aa453275	ee501959
LBN_SELCANCEL	aa453276	ee503963
LBN_SELCHANGE	aa453277	ee504288
LBN_SETFOCUS	aa453278	ee502896
LB_ADDSTRING	aa453251	ee500161
LB_DELETESTRING	aa453252	ee502901
LB_FINDSTRING	aa453253	ee505683
LB_FINDSTRINGEXACT	aa453254	ee499658
LB_GETANCHORINDEX	aa453255	ee502917
LB_GETCARETINDEX	aa453256	ee505268
LB_GETCOUNT	aa453257	ee504855
LB_GETCURSEL	aa453258	ee504323
LB_GETHORIZONTALEXTENT	aa453259	ee502001
LB_GETITEMDATA	aa453260	ee502241
LB_GETITEMHEIGHT	aa453261	ee505483
LB_GETITEMRECT	aa453262	ee500214
LB_GETLOCALE	aa453263	ee504908
LB_GETSEL	aa453264	ee501125
LB_GETSELCOUNT	aa453265	ee506055
LB_GETSELITEMS	aa453266	ee505228
LB_GETTEXT	aa453267	ee501398
LB_GETTEXTLEN	aa453268	ee499369
LB_GETTOPINDEX	aa453269	ee503195
LB_INITSTORAGE	aa453270	ee504335
LB_INSERTSTRING	aa453271	ee504297
LB_ITEMFROMPOINT	aa453272	ee499424
LB_RESETCONTENT	aa453279	ee506303
LB_SELECTSTRING	aa453280	ee504881
LB_SELITEMRANGE	aa453281	ee502006
LB_SELITEMRANGEEX	aa453282	ee500895
LB_SETANCHORINDEX	aa453283	ee505302
LB_SETCARETINDEX	aa453284	ee500208
LB_SETCOLUMNWIDTH	aa453285	ee503149
LB_SETCURSEL	aa453286	ee503738
LB_SETHORIZONTALEXTENT	aa453287	ee501451
LB_SETITEMDATA	aa453288	ee506123
LB_SETITEMHEIGHT	aa453289	ee504149
LB_SETLOCALE	aa453290	ee499410
LB_SETSEL	aa453291	ee505219
LB_SETTABSTOPS	aa453292	ee499115
LB_SETTOPINDEX	aa453293	ee503399
LCMapString	ms906221	ee491201
LCTYPE Constants	ms906223	ee491958
LOAD_DLL_DEBUG_INFO	ms886734	ee488203
LOGBRUSH	aa453418	ee503661
LOGPALETTE	aa453419	ee505709
LOGPEN	aa453420	ee502585
Language Identifiers and Locales	ms903928	ee491651
LeaveCriticalSection	ms886733	ee488246
LineTo	aa453296	ee505695
List Box Styles	aa453299	ee501958
List View Styles	aa453379	ee505098
LoadAccelerators	aa453407	ee504316
LoadBitmap	aa453409	ee504579
LoadIcon	aa453411	ee499345
LoadImage	aa453413	ee505907
LoadKeyboardLayout	aa453414	ee500167
LoadLibrary	ms886736	ee488148
LoadLibraryEx	ms886737	ee488215
LoadMenu	aa453415	ee501468
LoadResource	aa453416	ee505293
LoadString	ms886738	ee488763
LocalAlloc	ms886739	ee487963
LocalFileTimeToFileTime	ms886740	ee487989
LocalFree	ms886741	ee488030
LocalReAlloc	ms886742	ee488426
LocalSize	ms886743	ee488019
LockFileEx	ms891385	ee489737
LockResource	aa453417	ee502002
LogConnectionCreation	ms886745	ee488586
LogConnectionDeletion	ms886746	ee488387
LogDroppedPacket	ms886747	ee488367
LogInit	ms886748	ee488567
MAKEINTRESOURCE	aa453542	ee501178
MAKELANGID	ms906225	ee491561
MAKELCID	ms906226	ee491150
MAKELPARAM	aa453543	ee505062
MAKELRESULT	ms911640	ee501245
MAKEWPARAM	ms911780	ee499034
MAPHEADER	ms886750	ee488608
MEASUREITEMSTRUCT	ms911820	ee503680
MEMORYSTATUS	ms886753	ee488368
MEMORY_BASIC_INFORMATION	ms886752	ee488437
MENUITEMINFO	ms911822	ee502561
MODULEENTRY32	ms886756	ee488045
MODULEINFO	ms886757	ee488924
MOUSEINPUT	ms931454	ee504560
MSGQUEUEINFO	ms886758	ee487993
MSGQUEUEOPTIONS	ms886759	ee488171
MapDialogRect	ms911788	ee503734
MapViewOfFile	ms891386	ee490226
MapVirtualKey	ms911789	ee503996
MapWindowPoints	ms911790	ee501159
MaskBlt	ms911792	ee505239
Memory Management Functions	aa450751	-
Memory Management Structures	aa450753	-
Message Box Styles	ms911829	ee502245
Message Queue Point-to-Point Functions	aa450754	-
Message Queue Point-to-Point Structures	aa450756	-
MessageBeep	ms911826	ee506099
MessageBox	ms911827	ee503608
Module32First	ms886754	ee488610
Module32Next	ms886755	ee488238
Month Calendar Control Styles	ms931430	ee505077
MoveFile	ms891388	ee490016
MoveToEx	ms931457	ee503724
MoveWindow	ms931458	ee502616
MsgWaitForMultipleObjects	ms931460	ee499430
MsgWaitForMultipleObjectsEx	ms931461	ee505033
MultiByteToWideChar	ms886760	ee488225
NKDbgPrintfW	aa451081	ee488771
NTE error codes	aa451033	ee488369
NUMBERFMT	ms906228	ee491766
National Language Support (NLS) Functions	ms904415	-
National Language Support (NLS) Macros	ms904406	-
National Language Support (NLS) Structures	ms904614	-
National Language support (NLS) Locale Identifiers	ms906224	-
Net Errors - Alphabetical Order	ms886761	ee488355
Net Errors - Numerical Order	ms886762	ee487980
Network Address Translation Functions	aa450757	-
Network Address Translation Structures	aa450759	-
Non-client Area Styles	ms911872	ee506097
OSVERSIONINFO	ms886768	ee488619
OUTLINETEXTMETRICW	ms934025	ee505879
OUTPUT_DEBUG_STRING_INFO	ms886770	ee488772
OVERLAPPED	ms891422	ee490367
OffsetRect	ms911891	ee504901
OffsetRgn	ms911892	ee501910
OffsetViewportOrgEx	aa453953	ee504540
OpenClipboard	ms911905	ee503328
OpenEvent	ms886764	ee488185
OpenMsgQueue	ms886765	ee488036
OpenProcess	ms886766	ee488418
OutputDebugString	ms886769	ee488209
PAINTSTRUCT	ms911912	ee499378
PALETTEENTRY	ms911913	ee504876
POINT	ms911930	ee504157
POINTS	ms911931	ee503619
PRIMARYLANGID	ms906230	ee491738
PROCESSENTRY32	ms886774	ee488007
PROCESS_INFORMATION	ms886775	ee488245
PatBlt	ms911916	ee503352
PeekMessage	ms911928	ee502843
Polygon	ms911933	ee505249
Polyline	ms911934	ee501424
PostKeybdMessage	ms911936	ee501918
PostMessage	ms911937	ee505901
PostQuitMessage	ms911938	ee504315
PostThreadMessage	ms911939	ee506038
Process and Thread Functions	aa450760	-
Process and Thread Structures	aa450762	-
Process32First	ms886772	ee488156
Process32Next	ms886773	ee488794
Progress Bar Styles	aa453546	ee499649
PropEnumProcEx	aa453551	ee500149
PtInRect	aa453601	ee505698
PtInRegion	aa453602	ee503452
PulseEvent	ms886784	ee488021
PurgeComm	ms886785	ee488020
Push Button Styles	aa453604	ee501475
QueryInfoSession	ms886786	ee488157
QueryInstructionSet	ms886787	ee488150
QueryPerformanceCounter	ms886788	ee488415
QueryPerformanceFrequency	ms886789	ee488620
RAS Error Values	ms886792	ee488627
RECT	ms912843	ee499335
RECTL	ms913063	ee500544
RETAILLED	aa451085	ee488432
RETAILMSG	aa451087	ee488919
RGBQUAD	ms939815	ee503753
RGBTRIPLE	ms939824	ee500218
RGNDATA	ms939837	ee500234
RGNDATAHEADER	ms939847	ee499122
Radio Button Styles	aa453607	ee505912
RaiseException	ms886790	ee488557
Random	ms886791	ee487948
ReadFile	ms891445	ee489594
ReadMsgQueue	ms886793	ee488410
ReadProcessMemory	ms886794	ee488931
RealizePalette	aa453638	ee499061
Rebar Styles	aa453641	ee502314
RectInRegion	ms913051	ee505688
RectVisible	ms913070	ee504305
Rectangle	ms912947	ee505883
RedrawWindow	ms913080	ee503183
RegCloseKey	ms891448	ee489566
RegCreateKeyEx	ms891450	ee490393
RegDeleteKey	ms891451	ee489528
RegDeleteValue	ms891452	ee490238
RegEnumKeyEx	ms891453	ee490030
RegEnumValue	ms891454	ee489970
RegFlushKey	ms891455	ee490431
RegOpenKeyEx	ms891460	ee489985
RegQueryInfoKey	ms891461	ee490425
RegQueryValueEx	ms891462	ee490180
RegSetValueEx	ms891469	ee490645
RegisterClass	ms913089	ee506270
RegisterClipboardFormat	ms913094	ee506040
RegisterDbgZones	aa451083	ee488024
RegisterEditor	ms886796	ee488599
RegisterHotKey	ms913104	ee502597
RegisterWindowMessage	ms939737	ee503986
Registry Functions	aa516952	-
Registry Notification Functions	ms891456	-
ReleaseDC	ms939760	ee500245
ReleaseMutex	ms886797	ee488152
ReleaseSemaphore	ms886798	ee488572
RemoveDirectory	ms891470	ee490356
RemoveMenu	ms939775	ee503476
RemoveProp	ms939781	ee500897
ReportFault	ms886799	ee488765
ResetEvent	ms886800	ee487974
RestoreDC	ms939800	ee500251
ResumeThread	ms886801	ee488648
RoundRect	ms939867	ee500905
SIZE	ms940344	ee505301
STM_GETIMAGE	ms940366	ee503757
STM_SETIMAGE	ms940367	ee499348
STN_CLICKED	ms940368	ee506100
STN_DISABLE	ms940369	ee501781
STN_ENABLE	ms940370	ee504016
STORE_INFORMATION	ms891279	ee488452
STYLESTRUCT	ms940380	ee503374
SUBLANGID	ms906441	ee491948
SYSTEMTIME	aa450923	ee488248
SYSTEM_INFO	aa450921	ee488780
SYSTEM_POWER_STATUS_EX	ms940384	ee505043
SYSTEM_POWER_STATUS_EX2	ms940385	ee499341
SaveDC	ms939894	ee501223
ScreenToClient	ms932582	ee503589
Scroll Bar Styles	ms932612	ee505682
ScrollDC	ms932696	ee499718
ScrollWindowEx	ms932713	ee500480
SecureZeroMemory	ms886803	ee488421
SelectClipRgn	ms932714	ee502828
SelectObject	ms932715	ee506271
SelectPalette	ms932716	ee501382
SendDlgItemMessage	ms932717	ee501193
SendInput	ms932719	ee505708
SendMessage	ms939980	ee504840
SendMessageTimeout	ms939981	ee499352
SendNotifyMessage	ms939983	ee500168
Serial Communications Functions	aa450763	-
Serial Communications Structures	aa450765	-
SetAbortProc	ms939985	ee502926
SetActiveWindow	ms939986	ee504615
SetBitmapBits	ms939987	ee499432
SetBkColor	ms939988	ee506089
SetBkMode	ms939989	ee499678
SetBrushOrgEx	ms940010	ee505889
SetCaretBlinkTime	ms940012	ee505058
SetCaretPos	ms940013	ee502546
SetClassLong	ms940014	ee504860
SetClipboardData	ms940015	ee504536
SetCommBreak	ms886804	ee488578
SetCommMask	ms886805	ee488916
SetCommState	ms886806	ee487991
SetCommTimeouts	ms886807	ee488388
SetDIBColorTable	ms940018	ee502593
SetDIBitsToDevice	ms940019	ee503196
SetDaylightTime	ms886808	ee488917
SetDlgItemInt	ms940020	ee504580
SetDlgItemText	ms940021	ee499688
SetEndOfFile	ms891916	ee490369
SetEvent	ms886810	ee488785
SetFileAttributes	ms891925	ee490205
SetFilePointer	ms891933	ee490790
SetFileTime	ms886812	ee488233
SetFocus	ms940023	ee501059
SetForegroundWindow	ms940024	ee505432
SetLastError	ms886817	ee487957
SetLayout	ms940026	ee503626
SetLocalTime	ms886818	ee488183
SetLocaleInfo	ms906277	ee491893
SetMenuItemInfo	ms940027	ee503422
SetPaletteEntries	ms940028	ee503899
SetParent	aa453645	ee505900
SetPixel	aa453646	ee503104
SetProp	aa453647	ee504325
SetROP2	aa453651	ee505650
SetRect	aa453648	ee502266
SetRectEmpty	aa453649	ee504846
SetRectRgn	aa453650	ee505099
SetScrollInfo	aa453652	ee503641
SetScrollPos	aa453653	ee503730
SetScrollRange	aa453654	ee501477
SetStretchBltMode	aa453655	ee501241
SetSysColors	aa453656	ee501233
SetSystemTime	aa450867	ee488615
SetThreadContext	aa450889	ee487947
SetThreadPriority	aa450891	ee488350
SetTimeZoneInformation	aa450893	ee488386
SetTimer	aa453657	ee502602
SetUserDefaultLCID	ms906279	ee491343
SetViewportOrgEx	aa453660	ee500818
SetWindowLong	aa453661	ee501419
SetWindowOrgEx	aa453954	ee505638
SetWindowPos	aa453662	ee499098
SetWindowRgn	aa453663	ee501413
SetWindowText	aa453664	ee501199
SetupComm	aa450896	ee488358
ShowCaret	aa453729	ee502542
ShowWindow	aa453731	ee499640
SignalStarted	aa450898	ee488242
SizeofResource	ms940346	ee504352
Sleep	aa450900	ee488158
StartDoc	ms940349	ee505661
StartPage	ms940350	ee502541
Static Control Styles	ms940359	ee505845
StretchBlt	ms940373	ee504535
StretchDIBits	ms940374	ee502921
String	aa450907	ee488753
StringFileInfo	aa450909	ee488169
StringTable	aa450911	ee488384
Strings Functions	aa450766	-
SubtractRect	ms940381	ee504025
SuspendThread	aa450913	ee488373
SwitchToFiber	aa450915	ee488422
Synchronization Functions	aa450749	-
System Errors - Alphabetical Order	aa450917	ee487988
System Errors - Numerical Order	aa450919	ee488398
System Management Functions	aa450768	-
System Management Structures	aa450770	-
SystemIdleTimerReset	ms940382	ee502574
SystemParametersInfo	ms940383	ee499131
SystemTimeToFileTime	aa450925	ee488792
TEXT	aa450932	ee487976
THREADENTRY32	aa450938	ee488795
TIME_ZONE_INFORMATION	aa450943	ee488576
TPMPARAMS	aa453766	ee500588
TRIVERTEX	aa453818	ee504868
TRUST Error Codes	aa451035	ee488436
Tab Control Styles	ms940386	ee505852
TerminateProcess	aa450927	ee488378
TerminateThread	aa450930	ee488176
Ternary Raster Operations	aa452783	ee501409
Thread32First	aa450934	ee488375
Thread32Next	aa450936	ee487953
ThreadProc	aa450940	ee488554
Time Functions	aa450771	-
Time Structures	aa450773	-
TimeoutSession	aa450941	ee488438
TimerProc	aa453746	ee505677
TlsAlloc	aa450945	ee488159
TlsFree	aa450947	ee488903
TlsGetValue	aa450949	ee488590
TlsSetValue	aa450951	ee488026
ToolHelp Functions	aa450774	-
ToolHelp Structures	aa450776	-
ToolTip Styles	aa453759	ee502891
Toolbar Styles	aa453749	ee505463
Toolhelp32ReadProcessMemory	aa450953	ee488417
TrackPopupMenu	aa453773	ee503594
TrackPopupMenuEx	aa453774	ee504060
Trackbar Control Styles	aa453767	ee502608
TranslateAccelerator	aa453775	ee500503
TranslateCharsetInfo	aa450955	ee487979
TranslateMessage	aa453776	ee502837
TransmitCommChar	aa450957	ee488400
TransparentBlt	aa453778	ee500253
TransparentImage	aa453779	ee499350
Tree View Styles	aa453817	ee502852
TryEnterCriticalSection	aa450959	ee488592
UNLOAD_DLL_DEBUG_INFO	aa450963	ee488907
Unicode Functions	aa450778	-
Unicode Macros	aa450779	-
Unicode Structures	aa450781	-
UnionRect	ms914081	ee499433
UnlockFileEx	ms892364	ee490757
UnmapViewOfFile	ms892373	ee490630
UnregisterClass	ms914082	ee499426
UnregisterHotKey	ms914083	ee504859
Up-down Control Styles	ms914086	ee504056
UpdateWindow	ms914085	ee501696
VIDEOPARAMETERS	ms914096	ee502855
VS_FIXEDFILEINFO	aa450983	ee488004
VS_VERSIONINFO	aa450984	ee488187
ValidateRect	ms914091	ee502605
ValidateRgn	ms914092	ee505903
Var	aa450969	ee488649
VarFileInfo	aa450972	ee488583
VerQueryValue	aa450973	ee488392
VirtualAlloc	aa450975	ee488564
VirtualFree	aa450979	ee488784
VirtualProtect	aa450980	ee488353
VirtualQuery	aa450981	ee488918
WIN32_FILE_ATTRIBUTE_DATA	ms892377	ee489644
WIN32_FIND_DATA	ms892378	ee489924
WINDOWPOS	ms914101	ee501783
WM_ACTIVATE	ms914105	ee502533
WM_CANCELMODE	ms914108	ee499379
WM_CHAR	ms914110	ee499076
WM_CLEAR	ms914113	ee503655
WM_CLOSE	ms914114	ee503214
WM_COMMAND	ms914115	ee503387
WM_CONTEXTMENU	ms914116	ee502540
WM_COPY	ms914117	ee504380
WM_COPYDATA	aa453921	ee506246
WM_CREATE	ms914118	ee505447
WM_CTLCOLORBTN	ms914119	ee504523
WM_CTLCOLORDLG	aa453847	ee499647
WM_CTLCOLOREDIT	aa453848	ee503430
WM_CTLCOLORLISTBOX	aa453849	ee504886
WM_CTLCOLORSTATIC	aa453851	ee502610
WM_CUT	aa453852	ee506101
WM_DELETEITEM	aa453853	ee501957
WM_DESTROY	aa453854	ee501771
WM_DRAWITEM	aa453855	ee505834
WM_ENABLE	aa453856	ee502850
WM_ENTERMENULOOP	aa453857	ee499673
WM_ERASEBKGND	aa453858	ee506254
WM_EXITMENULOOP	aa453859	ee503325
WM_GETDLGCODE	aa453861	ee500227
WM_GETTEXT	aa453864	ee505670
WM_GETTEXTLENGTH	aa453865	ee505257
WM_HOTKEY	aa453868	ee505258
WM_INITDIALOG	aa453871	ee505663
WM_INITMENUPOPUP	aa453872	ee500181
WM_KEYDOWN	aa453873	ee499052
WM_KEYUP	aa453876	ee502264
WM_KILLFOCUS	aa453877	ee501384
WM_MEASUREITEM	aa453883	ee503711
WM_MENUCHAR	aa453884	ee500164
WM_MOVE	aa453887	ee499342
WM_NEXTDLGCTL	aa453889	ee503433
WM_PAINT	aa453891	ee505047
WM_PALETTECHANGED	aa453892	ee501482
WM_PASTE	aa453893	ee503189
WM_QUERYNEWPALETTE	aa453894	ee501995
WM_QUIT	aa453895	ee503194
WM_RENDERALLFORMATS	aa453898	ee503187
WM_RENDERFORMAT	aa453899	ee501247
WM_SETFOCUS	aa453901	ee501183
WM_SETREDRAW	aa453904	ee501732
WM_SETTEXT	aa453905	ee505426
WM_SIZE	aa453907	ee506110
WM_STYLECHANGED	aa453908	ee505715
WM_SYSCHAR	aa453909	ee504516
WM_SYSCOLORCHANGE	aa453910	ee503622
WM_SYSCOMMAND	aa453911	ee503138
WM_SYSCOPYDATA	aa453912	ee500595
WM_SYSDEADCHAR	aa453913	ee501414
WM_SYSKEYDOWN	aa453914	ee504532
WM_SYSKEYUP	aa453915	ee504562
WM_UNDO	aa453917	ee503910
WM_WINDOWPOSCHANGED	aa453920	ee505095
WaitCommEvent	aa450985	ee488449
WaitForDebugEvent	aa450986	ee488758
WaitForMultipleObjects	aa450987	ee487972
WaitForSingleObject	aa450988	ee488762
WideCharToMultiByte	aa450989	ee488911
WinMain	ms914104	ee499679
WindowFromPoint	ms914099	ee499070
WindowProc	ms914102	ee499079
WriteDebugLED	aa450990	ee487992
WriteFile	ms892380	ee490774
WriteMsgQueue	aa450991	ee488786
WriteProcessMemory	aa450992	ee488243
keybd_event	aa453245	ee504289
wsprintf	aa450993	ee487981
wvsprintf	aa450994	ee488164
